sex;source;likes;text;label
Ж;Женские форумы;4;[id92778912|Анна], тут все же целый отпуск, но даже так бывает, что в паре отдельно его проводят и договариваются об этом заранее и вместе. А тут она судя по посту уже все запланировала сама и парня даже в известность не поставила, не говоря уже о договорённостях.;3
Ж;Женские форумы;1;[id343076996|Дарья], я тут не вижу, что в известность не поставила. Он пишет, что она сообщила за месяц же) мне кажется, все по-разному устают. Мне хватает одного вечера, чтобы перезарядиться, кому-то больше. Но, по-моему, мир все же вокруг гениталий не вертится, чтоб везде была только одна причина — измена);5
Ж;Женские форумы;0;[id92778912|Анна], вроде повезло, что парень тоже может взять отпуск, но о нем могут сильно раньше, чем за месяц договариваться на работе. А то, что разговор про то, как провести совместно отпуска был отложен до этого времени или говорит о том, что отношения не так долго длятся (пару месяцев всего, например), или же девушка могла осознанно это планировать и не говорить долго, в надежде что парень отпуск не сможет тоже взять. Любой из вариантов возможен в целом;0
М;Женские форумы;6;"[id92778912|Анна], в таком случае, наверное, нужно сказать ему, что хочу отдохнуть просто с друзьями, а Турцию и Дагестан выбрала чисто из любви к красивой природе, а не к бородатым Серканам Болатам и Хабибам. А не молчать или говорить ""с тобой не поеду"" Если бы мне на вполне справедливый вопрос так ответила деваха, то она бы меня просто не увидела потом никогда";4
Ж;Женские форумы;2;Вот казлиха;2
М;Женские форумы;26;А он точно ее парень? А то бывает, год в «отношениях»;0
М;Женские форумы;20;Нормальная ситуация. Хочет с друзьями отдохнуть . Какой смысл всюду обязательно вместе ездить?;0
М;Женские форумы;46;[id52812491|Павел], тем временем друзья, с которыми она решила отдохнуть в Турции;1
М;Женские форумы;7;[id74254005|Антон], предлагаешь ее запереть дома, а в общественные места одну не отпускать???;0
М;Женские форумы;29;"[id52812491|Павел], зачем? Просто расстаться ?? Зачем быть в отношениях с человеком, который говорит ""с тобой отдыхать не хочу"" или отмалчивается?";0
М;Женские форумы;9;[id74254005|Антон], а что, если ты в отношениях, то твой партнёр должен тебя везде сопровождать?);0
М;Женские форумы;46;"[id52812491|Павел], нет. Но если ты у него спрашиваешь ""почему?"", а он отвечает ""не хочу с тобой"", то это унижение, а не партнерство. Хоть бы легенду какую придумала для приличия";0
М;Женские форумы;7;[id74254005|Антон], это не унижение а честность и открытость. Если бы она ему врала, то это было бы унижение;4
М;Женские форумы;44;"[id52812491|Павел], и какие могут быть отношения, когда человек честно и открыто говорит, что не хочет конкретно с ним ехать? Представь ситуацию: вы с корешами решили в барчик сходить, ты такой звонишь, спрашиваешь куда подъезжать, а тебе говорят: ""Паш, мы с тобой тусить не хотим"", ты спрашиваешь, мол, почему, а в ответ - молчание. Норм дружба?";4
М;Женские форумы;5;[id74254005|Антон], отношения и дружба это не одно и то же. Отношения тем более разные бывают и не всегда серьезные;4
М;Женские форумы;42;[id52812491|Павел], то есть скотство в дружбе и отношениях разные? Типа, что скотство в дружбе, то в отношениях - самое то? Или я чего-то не понимаю? А отношения, по крайней мере, для автора вопроса, вполне серьезные. А даже если и несерьезные, то они не подразумевают отсутствие уважения;4
М;Женские форумы;19;[id52812491|Павел], конечно же, твой партнер тебе ничего не должен, эталонный ты куколд?;1
М;Женские форумы;9;Барсучок, любящий оплачивать «часть расходов» в серьез не понимает почему ге интересен своей же девушке, прям комедия;2
Ж;Женские форумы;12;А почему обязательно вместе ездить? У человека в отношениях всё равно должна быть своя жизнь, своё времяпрепровождение, увлечения, друзья, поездки.  Я тут не вижу проблемы, если поездка без всяких интимных подтекстов/измен и тд.;4
М;Женские форумы;10;[id608356340|L?ser], подтекста явно недостаточно, ага;0
М;Женские форумы;14;[id608356340|L?ser], в таком случае, зачем нужны отношения чтобы отдыхать от них ?) Такое ощущение люди не половинку ищут, а на работу ходят, эмоции зарабатывают, а потом в отпуска ездят??;0
Ж;Женские форумы;7;[id152597535|Sergey], У вас только две крайности: делать абсолютного всё вместе или вообще почти не видеться? Лично я не вижу смысла постоянно всё делать вместе, ездить только вместе и тд. Если вы это имели в виду.;7
М;Женские форумы;1;[id608356340|L?ser], ну а как по другому бывает, есть примеры живые, где люди месяцами не видятся - а потом, о привет как дела, и как ни в чем не бывало ?)));0
Ж;Женские форумы;0;[id152597535|Sergey], Ладно, мы говорим о разных вещах.;0
М;Женские форумы;0;[id608356340|L?ser], подождем пока твой парень решит с друзьями уехать в Тайланд . Никаких подтекстов;0
Ж;Женские форумы;1;[id3545040|Anatoly], Ну пусть едет, я поеду куда я хочу. xd;0
Ж;Женские форумы;0;[id608356340|Meow], оставьте этих неуверенных в себе и партнёре додиков. Они не знают, что такое доверие и здоровые отношения и не узнают;0
М;Женские форумы;0;Бросай ее к хуям собачьим;0
М;Женские форумы;5;"Все мы знаем зачем наши Наташки ездят в Турцию и ЕБИпет. Отдыхают они там,скача  на куях Азизов и Ибрагимов. Нажраются в г*вно и изменяют в сортирах и отелях. ""Уважающие""себя дамы за свой мохнатый сейф ещё и денег заработать пытаются.  А потом эта юзанная тушка возвращается домой брюхатой .";0
Ж;Женские форумы;0;[id125673271|Алексей], а в Италии и Германии они что делают?;0
М;Женские форумы;16;[id699034229|Авдотья], запад - для души, восток - для тела;0
Ж;Женские форумы;0;[id74254005|Антон], а север? Вот я на севере.;0
М;Женские форумы;0;[id699034229|Авдотья], север просто для шарящих в жизни элиток. Юг - без комментариев;0
Ж;Женские форумы;0;[id74254005|Антон], у нас считается что север для бухарей...;0
М;Женские форумы;0;[id699034229|Авдотья], будто бухари не могут быть элиткой;0
М;Женские форумы;0;[id699034229|Авдотья], тоже самое ,в поисках иностранного ёб*ря на свою разгульную;0
Ж;Женские форумы;1;[id125673271|Алексей], так а чем плохи немецкие хуи? Говорят крепкие.;0
Ж;Женские форумы;1;[id125673271|Алексей], а шведские ещё крепче.;0
Ж;Женские форумы;0;[id125673271|Алексей], видео не открывается. О чём эта украинка говорит?;0
М;Женские форумы;1;Готовь прка памперсы, пелёнки, алименты...;0
М;Женские форумы;1;К мойщику бассейнов ??;0
Ж;Женские форумы;13;хочется как-то пошутить, но стало грустно, потому что тоже захотелось в отпуск;0
Ж;Женские форумы;10;Ну так-то реально мужик куколдец, нравится «предположения»(оправдания) девушек в комментах, камон, кто ездить в отпуск будучи в отношениях, по таким странам, «просто» с друзьями? Хочешь ездить с друзьями = не нагулялась, не нагулялась = зачем отношения? Ты либо с мужиком, которого любишь, и хочешь разделить приятные моменты с ним, либо одна, «самостоятельная», и делаешь что душе угодно. Я просто даже представить себе ситуацию не могу, что бы я своему мужу сказала «эй, я короче через месяц в турцию, но без тебя, посиди дома. Хочешь со мной? Ну не, я же с друзьями» и в обратную сторону точно так же, меня бы как минимум заставило задуматься о том, что в наших отношениях что-то не так;6
Ж;Женские форумы;2;Во-первых, почему мужик задает этот вопрос на женских форумах, во-вторых это он тут что-то не договаривает, потому что не может быть, что девушка ничего не объяснила (ну либо они оба тупые). В-третьих, если отношения на всю жизнь, то до пенсии отдыхать только с партнером?;6
М;Женские форумы;2;Не, если серьезно, на мой взгляд, адекватные причины не ездить вместе - несовпадение отпусков, ну или если кто-то едет чисто мальчишником/девичником. Ну или если вы встречаетесь пару месяцев всего. То, насколько кто кому доверяет, уже другой вопрос, поебаться на стороне можно успеть, даже если вы поедете вместе.;7
М;Женские форумы;0;Шлюха;1
М;Женские форумы;0;[id74254005|Антон], уретральный секс это пиздец тот ещё, но мужики некоторые так дрочат, в основном фанаты фемдома;5
Ж;Женские форумы;11;[id74254005|Антон], ну чё началось-то, не душни, я к тому, что в представлении огромного количества людей беременность и роды-это чудо из чудес, а это не ебаться какой тяжёлый труд для организма и здоровья физического и ментального, неудивительно, что люди, которые это не планируют из каких-то своих побуждений, рады тому, что в них нет ещё одного микрочела, которого они должны на свет воспроизвести;5
М;Женские форумы;0;[id447939527|Александр], если фемдом, тогда тем более нужно заниматься?Это маленький шаг для мужика, но огромный шаг к равноправию для человечества;0
М;Женские форумы;0;"[id74254005|Антон], да не, для меня самого это идеальная форма для секса, ""ну там много предпосылок было"", говоря гофмановским языком. просто не нравятся лично мне фемки и чайлдфри, которые это пропагандируют. хотят жить в стране для русских и без чурок, но сами вот рождать не хотят, ""это кто-нибудь без меня сделает"", и таких каждый второй сейчас, минимум";0
М;Женские форумы;19;"[id576084574|Даша], так это дело каждого. Кто готов, тот пусть рожает, кто не готов, тот пусть не рожает. Тут вообще нет никакой дилеммы и предмета для дискуссии. И склонять кого-то к родам со своими ""часики тикают"", и склонять к бездетности страшилками - это из одной серии";7
Ж;Женские форумы;3;[id576084574|Даша], чудо из чудес - потому что организм сам наебывает гормонами, чтобы вид и дальше продолжал размножаться. Без всплеска гормонов при родах человечество давно бы вымерло, потому что без такого положительного стимула никто бы не подписался на эту хуйню. Для некоторых это становится аналогично дозе, вот эти все супермногодетные семьи, в которых мамаша родовая наркоманка;7
М;Женские форумы;1;[id447939527|Александр], ну так-то фемки и чайлдфри, как правило, весьма либеральных нравов. Они же там за мультикульти, безудержную гомоеблю до старости и прочие сжв прелести. Так что гости (а точнее хозяева) России из Средней Азии им дороже матери с отцом, ибо сепарация, все дела. И если ты не за это, то ты тупой консерв, скуф, фашик и вообще редиска;0
М;Женские форумы;0;[id74254005|Антон], ну тогда да, согласен. и жить так век, не нюхав ножек расеянской девы нерожающей((;0
Ж;Женские форумы;5;[id504700106|Helga], родовая наркоманка звучит даже страшнее, чем мефедроновая;0
Ж;Женские форумы;8;[id447939527|Александр], начитались шизнякова и пишут потом на всякие женские форумы????? дело вообще не в фем, ну кому нужно гробить с ног до головы свое здоровье ради этого? вот были бы нормальные мед условия, легальное кесарево, тогда вообще ноу проблем родить, а пока лучше побережем себя;0
М;Женские форумы;1;[id447939527|Александр], меня одно радует - я вряд ли доживу до момента, когда вся эта свободолюбивая братия добьётся своего ?? Ну либо буду уже старым, и мне будет пофиг че там за суета творится;0
М;Женские форумы;2;[id653737442|Death], гробить своё здоровье, притом, что женский организм более живуч и вынослив, чем мужской, как раз для вынашивания потомства? а может быть вы просто перестанете пить, курить и прочие радости жизни делать, а потом уже про гробление здоровья будете рассказывать? и где кесарево нелегально у нас, м? у нас его врачи не делают, да?;1
М;Женские форумы;0;[id74254005|Антон], да к тому времени европейцы в полтора раза уже вымрут, и это будет не остановить;0
М;Женские форумы;2;[id653737442|Death], а есть нелегальное кесарево? У меня все рожавшие знакомые через кесарево проходили. А оказывается преступники ??;4
Ж;Женские форумы;8;[id74254005|Антон], женщина не имеет право выбирать кесарево в нашей стране, только если есть показания, которых нет у большинства;0
М;Женские форумы;2;[id653737442|Death], да ладно ?? Не знаю в какой ты стране живёшь, а у нас перед родами врачи спецом убеждают через кесарево рожать. У меня самого мать акушерка, если что)) Она уже забыла как естественные роды принимать;4
М;Женские форумы;0;"[id653737442|Death], вообще, с чего вы взяли, что это мы начитались чего-то и гоним? я вот сам рассуждаю логически из ""если"" в ""то будет""";0
Ж;Женские форумы;10;[id447939527|Александр], да причем тут пить и курить, что за крайности? варикозы, гемморои, диастазы, недержание мочи и еще 1001 проблема. да, сейчас мало кто готов нести такое бремя, ну и что теперь;4
М;Женские форумы;1;[id653737442|Death], щас позвоню, доебусь до неё, спрошу когда она ласт раз кого-то доставала из ваджайны ?? Аж интересно стало;0
Ж;Женские форумы;1;[id74254005|Антон], я живу в России и здесь кесарево по желанию запрещено законом, какой смысл спорить, если это так и люди ищут кому дать взятку, но даже так не всегда находят таких врачей;4
М;Женские форумы;2;[id653737442|Death], поколение беспринципных, бесхребетных людей, которые не могут и не хотят нести хоть какую-нибудь ответственность, а хотят только жить всласть всю жизнь, распространяется на оба пола. вот что теперь я только могу сказать.;1
Ж;Женские форумы;10;[id447939527|Александр], нежелание испытывать проблемы со здоровьем = неготовность нести ответственность? ок;0
М;Женские форумы;0;[id653737442|Death], проблемы определённо будут у всех, вероятность этого 101% и это будет так постоянно, а ещё плод будет больным 102%, и история наших злоупотреблений до этого никак роли не играет на это. хорошо;0
М;Женские форумы;2;[id447939527|Александр], нашёл с кем спорить. Она чисто дитя своего времени. Вы друг друга в любом случае не поймете ????? У каждого своя правда. Не хочет она рожать и слава богу??;0
М;Женские форумы;0;[id74254005|Anton], да не, мне 19 лет уже почти, но по рассуждениям как 30летний, да. просто такие вот до 30-40 лет берегутся и живут, вообще ни о чём не думая. можно только говорить о том, что они либо больны, либо инфантильны;0
Ж;Женские форумы;7;[id447939527|Александр], да блин, как показывает практика здоровые дети неплохо так рождаются и у алко-нарко маргинальщины, а здоровые даже зачать не могут. случаев слишком много, только никакой зож не убережет от последствий родов;0
М;Женские форумы;2;[id653737442|Death], хосспаде, какое милое представление школьницы о мире)));0
М;Женские форумы;4;[id447939527|Александр], ну вот если мое поколение - это поколение невротиков, то нынешнее - поколение нарциссов. Они зациклены на себе, имеют кучу комплексов, и трясутся от любого дуновения жизни. Понятное дело, что не все такие, но таково веяние эпохи. Радуйся, что ты отличаешься от своих сверстников;0
Ж;Женские форумы;6;[id74254005|Антон], опять крайности, вот вы уже решили, что я не хочу рожать, а может я просто найду подходящие для себя условия и все будет нормально :) речь же шла изначально не обо мне, а об этой проблеме в целом;0
М;Женские форумы;3;[id653737442|Death], ну, судя по твоему нытью, условия должны быть какими-то космическими, я хз. Ребёнок должен сам выйти аккуратно, поздороваться, перерезать себе пуповину и больше не беспокоить, а то и так трудностей вон сколько;0
М;Женские форумы;2;"[id653737442|Death], здоровые дети у алкашей, которые имеют внешние проблемы, болезни, если не дефекты умственного, психического или культурного развития? в любом случае, раньше любой алкоголь и сигарету считали более вредным и опасным деянием, чем роды, а теперь вот оно как. ну, видимо оно и вредно для тех, кто сейчас и готовить сам не может, и психику больную имеет от постсоветского воспитания, и прочее. но вот от улучшения условий рожать меньше хочется, как бы то не было. с улучшением появляются новые игрушки, новые социальные развлечения типо ""секса по дружбе"", новые идеи социальные о сексуальных отклонениях как норме среди людей, и прочем, и детей тут никуда никак не вставишь. зато вот во всяком нищем таджикистане за одно пятилетие вместо 9 миллионов жителей стало 10 миллионов, притом, что все знают, что делать в той стране нечего, когда вся её экономика держится за счёт одного алюминиевого завода. ну собственно это вам думать всем, коль хотите поддерживать европейскую динамику, когда местное население замещается арабами и неграми, то хотите как хотите, с улучшением так называемого уровня жизни захотите ещё больше этого.";6
